2025-05-06 14:01:30,310 - INFO - Ready for training......
2025-05-06 14:01:30,310 - INFO - Running on device cuda
2025-05-06 14:01:32,663 - INFO - Epoch 01: Loss = 62.8045, Accuracy = 2.00%
2025-05-06 14:01:34,676 - INFO - Epoch 02: Loss = 61.5753, Accuracy = 4.00%
2025-05-06 14:01:36,695 - INFO - Epoch 03: Loss = 61.3049, Accuracy = 5.20%
2025-05-06 14:01:38,713 - INFO - Epoch 04: Loss = 60.3352, Accuracy = 4.40%
2025-05-06 14:01:40,725 - INFO - Epoch 05: Loss = 59.9042, Accuracy = 4.00%
2025-05-06 14:01:42,752 - INFO - Epoch 06: Loss = 59.3740, Accuracy = 6.40%
2025-05-06 14:01:44,778 - INFO - Epoch 07: Loss = 59.0880, Accuracy = 6.80%
2025-05-06 14:01:46,809 - INFO - Epoch 08: Loss = 58.8119, Accuracy = 5.60%
2025-05-06 14:01:48,821 - INFO - Epoch 09: Loss = 58.4925, Accuracy = 8.00%
2025-05-06 14:01:50,838 - INFO - Epoch 10: Loss = 58.0966, Accuracy = 10.00%
2025-05-06 14:01:52,830 - INFO - Epoch 11: Loss = 57.8683, Accuracy = 7.60%
2025-05-06 14:01:54,856 - INFO - Epoch 12: Loss = 57.5114, Accuracy = 6.80%
2025-05-06 14:01:56,864 - INFO - Epoch 13: Loss = 57.1418, Accuracy = 7.60%
2025-05-06 14:01:58,883 - INFO - Epoch 14: Loss = 56.8676, Accuracy = 6.40%
2025-05-06 14:02:00,935 - INFO - Epoch 15: Loss = 56.0962, Accuracy = 9.60%
2025-05-06 14:02:02,990 - INFO - Epoch 16: Loss = 56.1908, Accuracy = 7.60%
2025-05-06 14:02:05,072 - INFO - Epoch 17: Loss = 55.9693, Accuracy = 8.40%
2025-05-06 14:02:07,153 - INFO - Epoch 18: Loss = 55.5325, Accuracy = 12.00%
2025-05-06 14:02:09,233 - INFO - Epoch 19: Loss = 54.9867, Accuracy = 11.60%
2025-05-06 14:02:11,314 - INFO - Epoch 20: Loss = 54.7335, Accuracy = 10.00%
2025-05-06 14:02:13,387 - INFO - Epoch 21: Loss = 54.0843, Accuracy = 11.60%
2025-05-06 14:02:15,452 - INFO - Epoch 22: Loss = 53.9235, Accuracy = 12.40%
2025-05-06 14:02:17,524 - INFO - Epoch 23: Loss = 53.8974, Accuracy = 10.40%
2025-05-06 14:02:19,580 - INFO - Epoch 24: Loss = 53.5141, Accuracy = 9.20%
2025-05-06 14:02:21,645 - INFO - Epoch 25: Loss = 52.8583, Accuracy = 10.80%
2025-05-06 14:02:23,671 - INFO - Epoch 26: Loss = 52.6402, Accuracy = 10.00%
