2025-05-07 22:03:14,292 - INFO - Training on device: cuda
2025-05-07 22:03:28,662 - INFO - Epoch 01: Loss = 16237.1314, Accuracy = 16.79%
2025-05-07 22:03:42,633 - INFO - Epoch 02: Loss = 7983.9183, Accuracy = 51.91%
2025-05-07 22:03:56,637 - INFO - Epoch 03: Loss = 4776.0603, Accuracy = 69.89%
2025-05-07 22:04:10,587 - INFO - Epoch 04: Loss = 3837.8862, Accuracy = 76.86%
2025-05-07 22:04:24,585 - INFO - Epoch 05: Loss = 3200.5113, Accuracy = 80.97%
2025-05-07 22:04:38,543 - INFO - Epoch 06: Loss = 2847.0449, Accuracy = 83.39%
2025-05-07 22:04:52,534 - INFO - Epoch 07: Loss = 2696.5584, Accuracy = 84.10%
2025-05-07 22:05:06,501 - INFO - Epoch 08: Loss = 2468.0535, Accuracy = 85.11%
2025-05-07 22:05:20,527 - INFO - Epoch 09: Loss = 2335.3868, Accuracy = 86.12%
2025-05-07 22:05:34,508 - INFO - Epoch 10: Loss = 2320.4798, Accuracy = 86.51%
2025-05-07 22:05:48,488 - INFO - Epoch 11: Loss = 2360.8601, Accuracy = 86.88%
2025-05-07 22:06:02,450 - INFO - Epoch 12: Loss = 1968.3409, Accuracy = 88.61%
2025-05-07 22:06:16,408 - INFO - Epoch 13: Loss = 1884.7757, Accuracy = 89.43%
2025-05-07 22:06:30,379 - INFO - Epoch 14: Loss = 1736.2426, Accuracy = 90.22%
2025-05-07 22:06:44,370 - INFO - Epoch 15: Loss = 1681.2460, Accuracy = 90.69%
2025-05-07 22:06:58,401 - INFO - Epoch 16: Loss = 1599.4258, Accuracy = 91.01%
2025-05-07 22:07:12,385 - INFO - Epoch 17: Loss = 1693.2105, Accuracy = 90.94%
2025-05-07 22:07:26,436 - INFO - Epoch 18: Loss = 1639.1920, Accuracy = 91.30%
2025-05-07 22:07:40,427 - INFO - Epoch 19: Loss = 1616.9793, Accuracy = 91.50%
2025-05-07 22:07:54,384 - INFO - Epoch 20: Loss = 1754.0768, Accuracy = 90.93%
2025-05-07 22:08:07,605 - INFO - Epoch 21: Loss = 1720.5138, Accuracy = 91.37%
2025-05-07 22:08:19,056 - INFO - Epoch 22: Loss = 1656.5704, Accuracy = 91.54%
2025-05-07 22:08:30,481 - INFO - Epoch 23: Loss = 1600.5139, Accuracy = 91.68%
2025-05-07 22:08:41,860 - INFO - Epoch 24: Loss = 1650.6087, Accuracy = 91.81%
2025-05-07 22:08:53,180 - INFO - Epoch 25: Loss = 1630.0244, Accuracy = 91.82%
2025-05-07 22:09:04,447 - INFO - Epoch 26: Loss = 1614.8489, Accuracy = 92.16%
2025-05-07 22:09:15,860 - INFO - Epoch 27: Loss = 1746.7446, Accuracy = 91.90%
2025-05-07 22:09:27,253 - INFO - Epoch 28: Loss = 1772.9076, Accuracy = 91.98%
2025-05-07 22:09:38,855 - INFO - Epoch 29: Loss = 1753.3817, Accuracy = 91.61%
2025-05-07 22:09:50,436 - INFO - Epoch 30: Loss = 1864.6956, Accuracy = 91.17%
2025-05-07 22:10:02,054 - INFO - Epoch 31: Loss = 1850.7711, Accuracy = 91.23%
2025-05-07 22:10:13,472 - INFO - Epoch 32: Loss = 1650.3420, Accuracy = 91.99%
2025-05-07 22:10:25,068 - INFO - Epoch 33: Loss = 1608.8884, Accuracy = 92.30%
2025-05-07 22:10:38,380 - INFO - Epoch 34: Loss = 1584.1428, Accuracy = 92.40%
2025-05-07 22:10:52,049 - INFO - Epoch 35: Loss = 1589.6007, Accuracy = 92.47%
2025-05-07 22:11:05,871 - INFO - Epoch 36: Loss = 1728.9453, Accuracy = 91.72%
2025-05-07 22:11:19,585 - INFO - Epoch 37: Loss = 1607.6843, Accuracy = 92.40%
2025-05-07 22:11:33,357 - INFO - Epoch 38: Loss = 1622.9695, Accuracy = 92.17%
2025-05-07 22:11:47,226 - INFO - Epoch 39: Loss = 1715.8847, Accuracy = 91.77%
2025-05-07 22:12:01,236 - INFO - Epoch 40: Loss = 1652.6455, Accuracy = 91.98%
2025-05-07 22:12:15,061 - INFO - Epoch 41: Loss = 1560.8723, Accuracy = 92.61%
2025-05-07 22:12:28,869 - INFO - Epoch 42: Loss = 1485.2978, Accuracy = 92.82%
2025-05-07 22:12:42,406 - INFO - Epoch 43: Loss = 1424.9113, Accuracy = 93.13%
2025-05-07 22:12:56,358 - INFO - Epoch 44: Loss = 1389.6024, Accuracy = 93.43%
2025-05-07 22:13:10,214 - INFO - Epoch 45: Loss = 1412.2664, Accuracy = 93.54%
2025-05-07 22:13:24,178 - INFO - Epoch 46: Loss = 1479.2428, Accuracy = 93.41%
2025-05-07 22:13:38,105 - INFO - Epoch 47: Loss = 1388.8551, Accuracy = 93.59%
2025-05-07 22:13:52,072 - INFO - Epoch 48: Loss = 1448.7194, Accuracy = 93.59%
2025-05-07 22:14:06,053 - INFO - Epoch 49: Loss = 1339.6381, Accuracy = 93.73%
2025-05-07 22:14:20,101 - INFO - Epoch 50: Loss = 1326.6292, Accuracy = 93.80%
2025-05-07 22:14:34,164 - INFO - Epoch 51: Loss = 1335.4071, Accuracy = 93.88%
2025-05-07 22:14:48,245 - INFO - Epoch 52: Loss = 1369.0610, Accuracy = 93.90%
2025-05-07 22:15:02,289 - INFO - Epoch 53: Loss = 1399.2774, Accuracy = 93.68%
2025-05-07 22:15:16,241 - INFO - Epoch 54: Loss = 1429.1642, Accuracy = 93.84%
2025-05-07 22:15:30,246 - INFO - Epoch 55: Loss = 1317.5111, Accuracy = 93.90%
2025-05-07 22:15:44,304 - INFO - Epoch 56: Loss = 1438.9335, Accuracy = 93.91%
2025-05-07 22:15:58,293 - INFO - Epoch 57: Loss = 1324.5817, Accuracy = 94.06%
2025-05-07 22:16:12,001 - INFO - Epoch 58: Loss = 1365.7025, Accuracy = 93.94%
2025-05-07 22:16:25,025 - INFO - Epoch 59: Loss = 1415.3278, Accuracy = 93.83%
2025-05-07 22:16:38,261 - INFO - Epoch 60: Loss = 1352.2817, Accuracy = 93.93%
2025-05-07 22:16:51,922 - INFO - Epoch 61: Loss = 1403.4183, Accuracy = 94.06%
2025-05-07 22:17:05,918 - INFO - Epoch 62: Loss = 1348.4149, Accuracy = 93.92%
2025-05-07 22:17:19,810 - INFO - Epoch 63: Loss = 1399.6365, Accuracy = 93.89%
2025-05-07 22:17:33,492 - INFO - Epoch 64: Loss = 1316.2511, Accuracy = 94.33%
